v,b,e,rho00,rho01_real,rho01_imag,rho10_real,rho10_imag,rho11,bloch_x,bloch_y,bloch_z
0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,0.4999999999999999,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0
0,1,0,0.5000000000000001,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0
0,1,1,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004
1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
1,0,1,0.4999999999999999,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0
1,1,0,0.5000000000000001,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,-1.0000000000000004
