variant,quirk_coherence_measure,reduced_purity,von_neumann_entropy_bits,fidelity_with_baseline,trace_distance_from_baseline,optimal_equal_prior_distinguishing_success,z_basis_total_variation_from_baseline,l1_coherence
baseline,0.9999999523962775,0.9999999999999999,1.6017132519074586e-16,0.9999999999999999,0.0,0.5,0.0,10.65685421388973
intercept_resend,0.49999997619813874,0.4999999999999999,1.0,0.25,0.8090169943749478,0.904508497187474,0.3750000022251654,6.035533905932736
advanced,0.49999997619813874,0.4999999999999999,1.0,0.4267766952966367,0.6184064395519753,0.8092032197759876,8.900661679911437e-09,6.035533905932737
