theta,victim_fidelity,baseline_x_expectation,attacked_x_expectation,z_zero_probability
0.0,1.0,0.0,0.0,1.0
0.007853981633974483,0.999969158120415,0.007853900888711334,0.0,0.9999845788223948
0.015707963267948967,0.9998766400914327,0.015707317311820675,0.0,0.9999383162408302
0.02356194490192345,0.9997224687404924,0.023559764833610157,0.0,0.9998612151090003
0.031415926535897934,0.9995066821070678,0.03141075907812829,0.0,0.9997532801828658
0.039269908169872414,0.9992293334332818,0.0392598157590686,0.0,0.9996145181203614
0.0471238898038469,0.99889049115077,0.04710645070964266,0.0,0.999444937480985
0.05497787143782139,0.9984902388637947,0.05495017991244575,0.0,0.9992445487252689
0.06283185307179587,0.9980286753286196,0.06279051952931337,0.0,0.9990133642141359
0.07068583470577035,0.9975059144291393,0.07062698593116669,0.0,0.998751398208135
0.07853981633974483,0.9969220851487843,0.07845909572784494,0.0,0.9984586668665639
0.08639379797371932,0.9962773315386936,0.08628636579792338,0.0,0.9981351882464706
0.0942477796076938,0.9955718126821723,0.09410831331851433,0.0,0.9977809823015401
0.10210176124166828,0.9948057026554413,0.10192445579505004,0.0,0.9973960708808631
0.10995574287564278,0.9939791904846869,0.10973431109104528,0.0,0.9969804777275898
0.11780972450961726,0.9930924800994193,0.11753739745783766,0.0,0.9965342284774632
0.12566370614359174,0.9921457902821578,0.12533323356430423,0.0,0.9960573506572389
0.13351768777756623,0.9911393546144496,0.1331213385265524,0.0,0.9955498736829874
0.1413716694115407,0.9900734214192356,0.14090123193758264,0.0,0.9950118288582787
0.1492256510455152,0.9889482536995825,0.148672433896923,0.0,0.9944432493722523
0.15707963267948966,0.9877641290737883,0.15643446504023087,0.0,0.9938441702975689
0.16493361431346415,0.9865213397068866,0.16418684656886295,0.0,0.9932146285882478
0.17278759594743864,0.9852201922385563,0.17192910027940955,0.0,0.9925546630773869
0.1806415775814131,0.9838610077074669,0.17966074859319253,0.0,0.991864314474768
0.1884955592153876,0.9824441214720627,0.18738131458572463,0.0,0.9911436253643443
0.1963495408493621,0.9809698831278219,0.1950903220161283,0.0,0.9903926402016153
0.20420352248333656,0.9794386564209953,0.2027872953565125,0.0,0.9896114053108829
0.21205750411731106,0.9778508191588613,0.21047175982130567,0.0,0.9887999688823953
0.21991148575128555,0.976206763116505,0.2181432413965426,0.0,0.9879583809693737
0.22776546738526002,0.9745068939401541,0.2258012668691037,0.0,0.9870866934849247
0.2356194490192345,0.972751631047092,0.23344536385590545,0.0,0.9861849601988383
0.24347343065320898,0.9709414075221732,0.24107506083303865,0.0,0.9852532367342711
0.25132741228718347,0.9690766700109661,0.24868988716485482,0.0,0.9842915805643156
